First,Second,Third,Fourth
0.00000e+00,2.86806e-05,-1.39002e-07,-1.36644e-01,-9.07032e-05
0.00000e+00,2.86806e-05,-1.39002e-07,-1.36644e-01,-9.07032e-05
0.00000e+00,2.86806e-05,-1.39002e-07,-1.36644e-01,-9.07032e-05
0.00000e+00,2.86806e-05,-1.39002e-07,-1.36644e-01,-9.07032e-05
0.00000e+00,2.86806e-05,-1.39002e-07,-1.36644e-01,-9.07032e-05
0.00000e+00,2.86806e-05,-1.39002e-07,-1.36644e-01,-9.07032e-05
0.00000e+00,2.86806e-05,-1.39002e-07,-1.36644e-01,-9.07032e-05
0.00000e+00,2.86806e-05,-1.39002e-07,-1.36644e-01,-9.07032e-05
0.00000e+00,2.86806e-05,-1.39002e-07,-1.36644e-01,-9.07032e-05
0.00000e+00,2.86806e-05,-1.39002e-07,-1.36644e-01,-9.07032e-05
0.00000e+00,2.86806e-05,-1.39002e-07,-1.36644e-01,-9.07032e-05
0.00000e+00,2.86806e-05,-1.39002e-07,-1.36644e-01,-9.07032e-05
0.00000e+00,2.86806e-05,-1.39002e-07,-1.36644e-01,-9.07032e-05
0.00000e+00,2.86806e-05,-1.39002e-07,-1.36644e-01,-9.07032e-05
0.00000e+00,2.86806e-05,-1.39002e-07,-1.36644e-01,-9.07032e-05
0.00000e+00,2.86806e-05,-1.39002e-07,-1.36644e-01,-9.07032e-05
0.00000e+00,2.86806e-05,-1.39002e-07,-1.36644e-01,-9.07032e-05
0.00000e+00,2.86806e-05,-1.39002e-07,-1.36644e-01,-9.07032e-05
0.00000e+00,2.86806e-05,-1.39002e-07,-1.36644e-01,-9.07032e-05
0.00000e+00,2.86806e-05,-1.39002e-07,-1.36644e-01,-9.07032e-05
0.00000e+00,2.86806e-05,-1.39002e-07,-1.36644e-01,-9.07032e-05
0.00000e+00,2.86806e-05,-1.39002e-07,-1.36644e-01,-9.07032e-05
0.00000e+00,2.86806e-05,-1.39002e-07,-1.36644e-01,-9.07032e-05
0.00000e+00,2.86806e-05,-1.39002e-07,-1.36644e-01,-9.07032e-05
0.00000e+00,2.86806e-05,-1.39002e-07,-1.36644e-01,-9.07032e-05
0.00000e+00,2.86806e-05,-1.39002e-07,-1.36644e-01,-9.07032e-05
0.00000e+00,2.86806e-05,-1.39002e-07,-1.36644e-01,-9.07032e-05
0.00000e+00,2.86806e-05,-1.39002e-07,-1.36644e-01,-9.07032e-05
0.00000e+00,2.86806e-05,-1.39002e-07,-1.36644e-01,-9.07032e-05
0.00000e+00,2.86806e-05,-1.39002e-07,-1.36644e-01,-9.07032e-05
0.00000e+00,2.86806e-05,-1.39002e-07,-1.36644e-01,-9.07032e-05
0.00000e+00,2.86806e-05,-1.39002e-07,-1.36644e-01,-9.07032e-05
0.00000e+00,2.86806e-05,-1.39002e-07,-1.36644e-01,-9.07032e-05
0.00000e+00,2.86806e-05,-1.39002e-07,-1.36644e-01,-9.07032e-05
0.00000e+00,2.86806e-05,-1.39002e-07,-1.36644e-01,-9.07032e-05
0.00000e+00,2.86806e-05,-1.39002e-07,-1.36644e-01,-9.07032e-05
0.00000e+00,2.86806e-05,-1.39002e-07,-1.36644e-01,-9.07032e-05
0.00000e+00,2.86806e-05,-1.39002e-07,-1.36644e-01,-9.07032e-05
0.00000e+00,2.86806e-05,-1.39002e-07,-1.36644e-01,-9.07032e-05
0.00000e+00,2.86806e-05,-1.39002e-07,-1.36644e-01,-9.07032e-05
0.00000e+00,2.86806e-05,-1.39002e-07,-1.36644e-01,-9.07032e-05
0.00000e+00,2.86806e-05,-1.39002e-07,-1.36644e-01,-9.07032e-05
0.00000e+00,2.86806e-05,-1.39002e-07,-1.36644e-01,-9.07032e-05
0.00000e+00,2.86806e-05,-1.39002e-07,-1.36644e-01,-9.07032e-05
0.00000e+00,2.86806e-05,-1.39002e-07,-1.36644e-01,-9.07032e-05
0.00000e+00,2.86806e-05,-1.39002e-07,-1.36644e-01,-9.07032e-05
0.00000e+00,2.86806e-05,-1.39002e-07,-1.36644e-01,-9.07032e-05
0.00000e+00,2.86806e-05,-1.39002e-07,-1.36644e-01,-9.07032e-05
0.00000e+00,2.86806e-05,-1.39002e-07,-1.36644e-01,-9.07032e-05
0.00000e+00,2.86806e-05,-1.39002e-07,-1.36644e-01,-9.07032e-05
0.00000e+00,2.86806e-05,-1.39002e-07,-1.36644e-01,-9.07032e-05
0.00000e+00,2.86806e-05,-1.39002e-07,-1.36644e-01,-9.07032e-05
0.00000e+00,2.86806e-05,-1.39002e-07,-1.36644e-01,-9.07032e-05
0.00000e+00,2.86806e-05,-1.39002e-07,-1.36644e-01,-9.07032e-05
0.00000e+00,2.86806e-05,-1.39002e-07,-1.36644e-01,-9.07032e-05
0.00000e+00,2.86806e-05,-1.39002e-07,-1.36644e-01,-9.07032e-05
0.00000e+00,2.86806e-05,-1.39002e-07,-1.36644e-01,-9.07032e-05
0.00000e+00,2.86806e-05,-1.39002e-07,-1.36644e-01,-9.07032e-05
0.00000e+00,2.86806e-05,-1.39002e-07,-1.36644e-01,-9.07032e-05
0.00000e+00,2.86806e-05,-1.39002e-07,-1.36644e-01,-9.07032e-05
0.00000e+00,2.86806e-05,-1.39002e-07,-1.36644e-01,-9.07032e-05
0.00000e+00,2.86806e-05,-1.39002e-07,-1.36644e-01,-9.07032e-05
0.00000e+00,2.86806e-05,-1.39002e-07,-1.36644e-01,-9.07032e-05
0.00000e+00,2.86806e-05,-1.39002e-07,-1.36644e-01,-9.07032e-05
0.00000e+00,2.86806e-05,-1.39002e-07,-1.36644e-01,-9.07032e-05
0.00000e+00,2.86806e-05,-1.39002e-07,-1.36644e-01,-9.07032e-05
0.00000e+00,2.86806e-05,-1.39002e-07,-1.36644e-01,-9.07032e-05
0.00000e+00,2.86806e-05,-1.39002e-07,-1.36644e-01,-9.07032e-05
0.00000e+00,2.86806e-05,-1.39002e-07,-1.36644e-01,-9.07032e-05
0.00000e+00,2.86806e-05,-1.39002e-07,-1.36644e-01,-9.07032e-05
0.00000e+00,2.86806e-05,-1.39002e-07,-1.36644e-01,-9.07032e-05
0.00000e+00,2.86806e-05,-1.39002e-07,-1.36644e-01,-9.07032e-05
