xCor,zCor,zPrime,ignore1,ignore2
0.00000e+00,2.67089e-05,-1.74871e-07,-2.68602e-03,-8.47107e-05
0.00000e+00,2.67089e-05,-1.74871e-07,-2.68602e-03,-8.47107e-05
0.00000e+00,2.67089e-05,-1.74871e-07,-2.68602e-03,-8.47107e-05
0.00000e+00,2.67089e-05,-1.74871e-07,-2.68602e-03,-8.47107e-05
0.00000e+00,2.67089e-05,-1.74871e-07,-2.68602e-03,-8.47107e-05
0.00000e+00,2.67089e-05,-1.74871e-07,-2.68602e-03,-8.47107e-05
0.00000e+00,2.67089e-05,-1.74871e-07,-2.68602e-03,-8.47107e-05
0.00000e+00,2.67089e-05,-1.74871e-07,-2.68602e-03,-8.47107e-05
0.00000e+00,2.67089e-05,-1.74871e-07,-2.68602e-03,-8.47107e-05
0.00000e+00,2.67089e-05,-1.74871e-07,-2.68602e-03,-8.47107e-05
0.00000e+00,2.67089e-05,-1.74871e-07,-2.68602e-03,-8.47107e-05
0.00000e+00,2.67089e-05,-1.74871e-07,-2.68602e-03,-8.47107e-05
0.00000e+00,2.67089e-05,-1.74871e-07,-2.68602e-03,-8.47107e-05
0.00000e+00,2.67089e-05,-1.74871e-07,-2.68602e-03,-8.47107e-05
0.00000e+00,2.67089e-05,-1.74871e-07,-2.68602e-03,-8.47107e-05
0.00000e+00,2.67089e-05,-1.74871e-07,-2.68602e-03,-8.47107e-05
0.00000e+00,2.67089e-05,-1.74871e-07,-2.68602e-03,-8.47107e-05
0.00000e+00,2.67089e-05,-1.74871e-07,-2.68602e-03,-8.47107e-05
0.00000e+00,2.67089e-05,-1.74871e-07,-2.68602e-03,-8.47107e-05
0.00000e+00,2.67089e-05,-1.74871e-07,-2.68602e-03,-8.47107e-05
0.00000e+00,2.67089e-05,-1.74871e-07,-2.68602e-03,-8.47107e-05
0.00000e+00,2.67089e-05,-1.74871e-07,-2.68602e-03,-8.47107e-05
0.00000e+00,2.67089e-05,-1.74871e-07,-2.68602e-03,-8.47107e-05
0.00000e+00,2.67089e-05,-1.74871e-07,-2.68602e-03,-8.47107e-05
0.00000e+00,2.67089e-05,-1.74871e-07,-2.68602e-03,-8.47107e-05
0.00000e+00,2.67089e-05,-1.74871e-07,-2.68602e-03,-8.47107e-05
0.00000e+00,2.67089e-05,-1.74871e-07,-2.68602e-03,-8.47107e-05
0.00000e+00,2.67089e-05,-1.74871e-07,-2.68602e-03,-8.47107e-05
0.00000e+00,2.67089e-05,-1.74871e-07,-2.68602e-03,-8.47107e-05
0.00000e+00,2.67089e-05,-1.74871e-07,-2.68602e-03,-8.47107e-05
0.00000e+00,2.67089e-05,-1.74871e-07,-2.68602e-03,-8.47107e-05
0.00000e+00,2.67089e-05,-1.74871e-07,-2.68602e-03,-8.47107e-05
0.00000e+00,2.67089e-05,-1.74871e-07,-2.68602e-03,-8.47107e-05
0.00000e+00,2.67089e-05,-1.74871e-07,-2.68602e-03,-8.47107e-05
0.00000e+00,2.67089e-05,-1.74871e-07,-2.68602e-03,-8.47107e-05
0.00000e+00,2.67089e-05,-1.74871e-07,-2.68602e-03,-8.47107e-05
0.00000e+00,2.67089e-05,-1.74871e-07,-2.68602e-03,-8.47107e-05
0.00000e+00,2.67089e-05,-1.74871e-07,-2.68602e-03,-8.47107e-05
0.00000e+00,2.67089e-05,-1.74871e-07,-2.68602e-03,-8.47107e-05
0.00000e+00,2.67089e-05,-1.74871e-07,-2.68602e-03,-8.47107e-05
0.00000e+00,2.67089e-05,-1.74871e-07,-2.68602e-03,-8.47107e-05
0.00000e+00,2.67089e-05,-1.74871e-07,-2.68602e-03,-8.47107e-05
0.00000e+00,2.67089e-05,-1.74871e-07,-2.68602e-03,-8.47107e-05
0.00000e+00,2.67089e-05,-1.74871e-07,-2.68602e-03,-8.47107e-05
0.00000e+00,2.67089e-05,-1.74871e-07,-2.68602e-03,-8.47107e-05
0.00000e+00,2.67089e-05,-1.74871e-07,-2.68602e-03,-8.47107e-05
0.00000e+00,2.67089e-05,-1.74871e-07,-2.68602e-03,-8.47107e-05
0.00000e+00,2.67089e-05,-1.74871e-07,-2.68602e-03,-8.47107e-05
0.00000e+00,2.67089e-05,-1.74871e-07,-2.68602e-03,-8.47107e-05
0.00000e+00,2.67089e-05,-1.74871e-07,-2.68602e-03,-8.47107e-05
0.00000e+00,2.67089e-05,-1.74871e-07,-2.68602e-03,-8.47107e-05
0.00000e+00,2.67089e-05,-1.74871e-07,-2.68602e-03,-8.47107e-05
0.00000e+00,2.67089e-05,-1.74871e-07,-2.68602e-03,-8.47107e-05
0.00000e+00,2.67089e-05,-1.74871e-07,-2.68602e-03,-8.47107e-05
0.00000e+00,2.67089e-05,-1.74871e-07,-2.68602e-03,-8.47107e-05
0.00000e+00,2.67089e-05,-1.74871e-07,-2.68602e-03,-8.47107e-05
0.00000e+00,2.67089e-05,-1.74871e-07,-2.68602e-03,-8.47107e-05
0.00000e+00,2.67089e-05,-1.74871e-07,-2.68602e-03,-8.47107e-05
0.00000e+00,2.67089e-05,-1.74871e-07,-2.68602e-03,-8.47107e-05
0.00000e+00,2.67089e-05,-1.74871e-07,-2.68602e-03,-8.47107e-05
0.00000e+00,2.67089e-05,-1.74871e-07,-2.68602e-03,-8.47107e-05
0.00000e+00,2.67089e-05,-1.74871e-07,-2.68602e-03,-8.47107e-05
0.00000e+00,2.67089e-05,-1.74871e-07,-2.68602e-03,-8.47107e-05
0.00000e+00,2.67089e-05,-1.74871e-07,-2.68602e-03,-8.47107e-05
0.00000e+00,2.67089e-05,-1.74871e-07,-2.68602e-03,-8.47107e-05
0.00000e+00,2.67089e-05,-1.74871e-07,-2.68602e-03,-8.47107e-05
0.00000e+00,2.67089e-05,-1.74871e-07,-2.68602e-03,-8.47107e-05
0.00000e+00,2.67089e-05,-1.74871e-07,-2.68602e-03,-8.47107e-05
0.00000e+00,2.67089e-05,-1.74871e-07,-2.68602e-03,-8.47107e-05
0.00000e+00,2.67089e-05,-1.74871e-07,-2.68602e-03,-8.47107e-05
0.00000e+00,2.67089e-05,-1.74871e-07,-2.68602e-03,-8.47107e-05
0.00000e+00,2.67089e-05,-1.74871e-07,-2.68602e-03,-8.47107e-05
0.00000e+00,2.67089e-05,-1.74871e-07,-2.68602e-03,-8.47107e-05
0.00000e+00,2.67089e-05,-1.74871e-07,-2.68602e-03,-8.47107e-05
0.00000e+00,2.67089e-05,-1.74871e-07,-2.68602e-03,-8.47107e-05
0.00000e+00,2.67089e-05,-1.74871e-07,-2.68602e-03,-8.47107e-05
0.00000e+00,2.67089e-05,-1.74871e-07,-2.68602e-03,-8.47107e-05
0.00000e+00,2.67089e-05,-1.74871e-07,-2.68602e-03,-8.47107e-05
0.00000e+00,2.67089e-05,-1.74871e-07,-2.68602e-03,-8.47107e-05
0.00000e+00,2.67089e-05,-1.74871e-07,-2.68602e-03,-8.47107e-05
0.00000e+00,2.67089e-05,-1.74871e-07,-2.68602e-03,-8.47107e-05
0.00000e+00,2.67089e-05,-1.74871e-07,-2.68602e-03,-8.47107e-05
0.00000e+00,2.67089e-05,-1.74871e-07,-2.68602e-03,-8.47107e-05
0.00000e+00,2.67089e-05,-1.74871e-07,-2.68602e-03,-8.47107e-05
0.00000e+00,2.67089e-05,-1.74871e-07,-2.68602e-03,-8.47107e-05
0.00000e+00,2.67089e-05,-1.74871e-07,-2.68602e-03,-8.47107e-05
0.00000e+00,2.67089e-05,-1.74871e-07,-2.68602e-03,-8.47107e-05
0.00000e+00,2.67089e-05,-1.74871e-07,-2.68602e-03,-8.47107e-05
0.00000e+00,2.67089e-05,-1.74871e-07,-2.68602e-03,-8.47107e-05
0.00000e+00,2.67089e-05,-1.74871e-07,-2.68602e-03,-8.47107e-05
0.00000e+00,2.67089e-05,-1.74871e-07,-2.68602e-03,-8.47107e-05
0.00000e+00,2.67089e-05,-1.74871e-07,-2.68602e-03,-8.47107e-05
0.00000e+00,2.67089e-05,-1.74871e-07,-2.68602e-03,-8.47107e-05
0.00000e+00,2.67089e-05,-1.74871e-07,-2.68602e-03,-8.47107e-05
0.00000e+00,2.67089e-05,-1.74871e-07,-2.68602e-03,-8.47107e-05
0.00000e+00,2.67089e-05,-1.74871e-07,-2.68602e-03,-8.47107e-05
